,Saison,Team,Wert
0,2008,Bayern München,238.9
1,2008,Werder Bremen,142.45
2,2008,FC Schalke 04,128.0
3,2008,Hamburger SV,110.3
4,2008,Bay. Leverkusen,97.7
5,2008,Bor. Dortmund,94.18
6,2008,VfB Stuttgart,93.4
7,2008,VfL Wolfsburg,84.55
8,2008,Hertha BSC,74.8
9,2008,Hannover 96,65.45
10,2008,E. Frankfurt,63.05
11,2008,VfL Bochum,45.8
12,2008,TSG Hoffenheim,44.2
13,2008,Bor. M'gladbach,40.25
14,2008,Karlsruher SC,38.85
15,2008,1.FC Köln,34.15
16,2008,Arm. Bielefeld,30.0
17,2008,Energie Cottbus,29.45
18,2009,Bayern München,283.25
19,2009,VfL Wolfsburg,155.88
20,2009,Hamburger SV,145.93
21,2009,Werder Bremen,134.0
22,2009,VfB Stuttgart,125.0
23,2009,FC Schalke 04,113.55
24,2009,Bay. Leverkusen,109.05
25,2009,TSG Hoffenheim,90.63
26,2009,Bor. Dortmund,80.45
27,2009,Hertha BSC,76.1
28,2009,1.FC Köln,72.23
29,2009,Hannover 96,66.88
30,2009,E. Frankfurt,62.0
31,2009,Bor. M'gladbach,45.8
32,2009,VfL Bochum,44.55
33,2009,1.FC Nürnberg,42.08
34,2009,1.FSV Mainz 05,40.45
35,2009,SC Freiburg,31.58
36,2010,Bayern München,284.5
37,2010,VfL Wolfsburg,210.73
38,2010,Bay. Leverkusen,146.65
39,2010,Werder Bremen,146.55
40,2010,FC Schalke 04,139.65
41,2010,Hamburger SV,132.23
42,2010,Bor. Dortmund,114.65
43,2010,VfB Stuttgart,106.65
44,2010,TSG Hoffenheim,98.35
45,2010,Bor. M'gladbach,69.3
46,2010,1.FC Köln,62.48
47,2010,E. Frankfurt,56.6
48,2010,1.FSV Mainz 05,45.55
49,2010,Hannover 96,44.63
50,2010,SC Freiburg,42.8
51,2010,1.FC Nürnberg,38.98
52,2010,1.FC K'lautern,37.23
53,2010,FC St. Pauli,29.9
54,2011,Bayern München,335.6
55,2011,Bor. Dortmund,158.2
56,2011,Bay. Leverkusen,151.1
57,2011,FC Schalke 04,136.73
58,2011,Werder Bremen,125.35
59,2011,VfL Wolfsburg,122.0
60,2011,Hamburger SV,103.2
61,2011,VfB Stuttgart,101.88
62,2011,TSG Hoffenheim,93.6
63,2011,1.FC Köln,69.29
64,2011,Hannover 96,68.85
65,2011,Bor. M'gladbach,59.08
66,2011,SC Freiburg,57.4
67,2011,1.FSV Mainz 05,55.1
68,2011,Hertha BSC,50.35
69,2011,1.FC K'lautern,50.05
70,2011,1.FC Nürnberg,43.18
71,2011,FC Augsburg,34.98
72,2012,Bayern München,407.3
73,2012,Bor. Dortmund,227.68
74,2012,FC Schalke 04,171.0
75,2012,VfL Wolfsburg,120.33
76,2012,Bay. Leverkusen,115.9
77,2012,Hamburger SV,110.6
78,2012,VfB Stuttgart,102.03
79,2012,Hannover 96,88.0
80,2012,TSG Hoffenheim,85.03
81,2012,Bor. M'gladbach,81.0
82,2012,Werder Bremen,79.2
83,2012,E. Frankfurt,51.2
84,2012,1.FSV Mainz 05,50.95
85,2012,FC Augsburg,47.0
86,2012,SC Freiburg,45.45
87,2012,1.FC Nürnberg,42.65
88,2012,Greuther Fürth,34.08
89,2012,F. Düsseldorf,31.75
90,2013,Bayern München,483.98
91,2013,Bor. Dortmund,285.15
92,2013,FC Schalke 04,186.95
93,2013,Bay. Leverkusen,141.85
94,2013,VfL Wolfsburg,134.73
95,2013,Hamburger SV,111.7
96,2013,VfB Stuttgart,100.98
97,2013,Bor. M'gladbach,94.78
98,2013,E. Frankfurt,84.93
99,2013,Hannover 96,83.55
100,2013,TSG Hoffenheim,77.08
101,2013,Werder Bremen,74.45
102,2013,SC Freiburg,66.63
103,2013,1.FC Nürnberg,48.88
104,2013,Hertha BSC,45.95
105,2013,1.FSV Mainz 05,45.4
106,2013,FC Augsburg,43.5
107,2013,E. Braunschweig,29.6
108,2014,Bayern München,564.18
109,2014,Bor. Dortmund,329.8
110,2014,FC Schalke 04,213.38
111,2014,VfL Wolfsburg,176.13
112,2014,Bay. Leverkusen,166.55
113,2014,Hamburger SV,114.95
114,2014,Bor. M'gladbach,107.33
115,2014,TSG Hoffenheim,100.03
116,2014,VfB Stuttgart,97.9
117,2014,Hannover 96,78.05
118,2014,1.FSV Mainz 05,76.9
119,2014,Hertha BSC,76.48
120,2014,E. Frankfurt,73.98
121,2014,Werder Bremen,58.58
122,2014,SC Freiburg,56.9
123,2014,1.FC Köln,43.33
124,2014,FC Augsburg,42.43
125,2014,SC Paderborn,22.45
126,2015,Bayern München,608.5
127,2015,Bor. Dortmund,311.6
128,2015,VfL Wolfsburg,265.43
129,2015,FC Schalke 04,209.35
130,2015,Bay. Leverkusen,200.75
131,2015,Bor. M'gladbach,139.55
132,2015,TSG Hoffenheim,111.4
133,2015,E. Frankfurt,87.5
134,2015,VfB Stuttgart,82.6
135,2015,Hamburger SV,74.08
136,2015,Hannover 96,73.58
