,Saison,Team,Wert
0,2008,FC Chelsea,406.7
1,2008,Manchester Utd.,356.1
2,2008,FC Liverpool,257.23
3,2008,FC Arsenal,250.85
4,2008,Tottenham,212.6
5,2008,Manchester City,206.8
6,2008,FC Everton,162.55
7,2008,Newcastle Utd.,134.95
8,2008,FC Portsmouth,131.5
9,2008,Aston Villa,111.8
10,2008,AFC Sunderland,91.28
11,2008,Blackburn Rov.,86.75
12,2008,Bolton Wand.,82.4
13,2008,West Ham Utd.,80.55
14,2008,Middlesbrough,73.65
15,2008,FC Fulham,73.1
16,2008,West Brom,64.05
17,2008,Wigan Athletic,61.6
18,2008,Stoke City,49.7
19,2008,Hull City,38.63
20,2009,FC Chelsea,443.85
21,2009,Manchester Utd.,362.95
22,2009,FC Liverpool,336.6
23,2009,Manchester City,314.9
24,2009,FC Arsenal,281.0
25,2009,Tottenham,249.2
26,2009,FC Everton,221.55
27,2009,Aston Villa,160.4
28,2009,AFC Sunderland,131.7
29,2009,West Ham Utd.,118.3
30,2009,FC Portsmouth,99.85
31,2009,FC Fulham,92.8
32,2009,Blackburn Rov.,90.3
33,2009,Bolton Wand.,85.33
34,2009,Stoke City,76.8
35,2009,Hull City,75.65
36,2009,Wigan Athletic,73.9
37,2009,Birmingham City,63.5
38,2009,Wolverhampton,59.7
39,2009,FC Burnley,38.45
40,2010,FC Chelsea,446.15
41,2010,Manchester Utd.,384.15
42,2010,Manchester City,382.53
43,2010,FC Liverpool,365.5
44,2010,FC Arsenal,304.38
45,2010,Tottenham,296.0
46,2010,Aston Villa,207.75
47,2010,FC Everton,178.53
48,2010,West Ham Utd.,158.95
49,2010,AFC Sunderland,137.33
50,2010,FC Fulham,111.95
51,2010,Birmingham City,102.9
52,2010,Stoke City,96.4
53,2010,Newcastle Utd.,95.65
54,2010,Blackburn Rov.,95.1
55,2010,Bolton Wand.,93.4
56,2010,West Brom,85.03
57,2010,Wolverhampton,76.8
58,2010,Wigan Athletic,72.1
59,2010,Blackpool,38.1
60,2011,FC Chelsea,467.5
61,2011,Manchester City,461.8
62,2011,Manchester Utd.,398.25
63,2011,Tottenham,316.0
64,2011,FC Arsenal,312.43
65,2011,FC Liverpool,247.75
66,2011,FC Everton,190.18
67,2011,Aston Villa,157.6
68,2011,AFC Sunderland,125.05
69,2011,Newcastle Utd.,120.53
70,2011,Stoke City,119.05
71,2011,FC Fulham,118.55
72,2011,QPR,106.05
73,2011,Bolton Wand.,98.15
74,2011,Blackburn Rov.,90.65
75,2011,Wolverhampton,82.0
76,2011,West Brom,81.38
77,2011,Wigan Athletic,70.0
78,2011,Swansea City,40.55
79,2011,Norwich City,22.5
